L3,Verbs,Nouns,,,
Remove Service features,remove/disconnect/discontinue/unsubscribe/cancel/delete/drop,#Features,100,"(remove|disconnect|discontinue|unsubscribe|cancel|delete|drop)[a-z\s]{0,20}(vz smart famil|voicemail|hotspot|ringtone|visual voice|verizon cloud|mobile protection|caller id|call filter|google play pass|alexa|disne plus|disne|hulu|verizon roadside assitance|apple music|disney bundle|vz hum|message block|vz navigator|famil locator|espn|apple arcade|verizon home device protect|care smart app|share name id|verizon famil money|verizon visa card|discover|youtube tv|smart locator hub|smart home|icloud|peloton|netflix|plus play|play|ae networks|amc|live nation veep|hulu|ww internation|sling tv|tech coach|call and message block|equipment coverage|mobile secure|paramount|iptv|number lock|verizon mobile protect|total equipment coverage|share number|walmart|hd streaming plus|gaming|xbox|wireless phonepProtect|nfl sunday ticket
)|(vz smart famil|voicemail|hotspot|ringtone|visual voice|verizon cloud|mobile protection|caller id|call filter|google play pass|alexa|disne plus|disne|hulu|verizon roadside assitance|apple music|disney bundle|vz hum|message block|vz navigator|famil locator|espn|apple arcade|verizon home device protect|care smart app|share name id|verizon famil money|verizon visa card|discover|youtube tv|smart locator hub|smart home|icloud|peloton|netflix|plus play|play|ae networks|amc|live nation veep|hulu|ww internation|sling tv|tech coach|call and message block|equipment coverage|mobile secure|paramount|iptv|number lock|verizon mobile protect|total equipment coverage|share number|walmart|hd streaming plus|gaming|xbox|wireless phonepProtect|nfl sunday ticket
)[a-z\s]{0,20}(remove|disconnect|discontinue|unsubscribe|cancel|delete|drop)",
Call Trouble,cannot,Make Calls,200,"(cannot|make|not able|unable|drop|not work|cannot connect|cannot make)[a-z\s]{0,20}(make call|call|connect call)|(make call|call|connect call)[a-z\s]{0,20}(cannot|make|not able|unable|drop|not work|cannot connect|cannot make)",
Call Trouble,make/not able/unable/drop/not work,call,,,
Call Trouble,cannot connect,call,,,
Call Trouble,unable,connect call,,,
Call Trouble,Cannot Make,Call,,,
Trouble messaging,cannot send/ cannot receive,text,100,"(cannot send|cannot receive|not get|cannot deliver|send|receive|forward|resend|does not support|ock|cannot lock|not deliver|problem|issue|fail|not work)[a-z\s]{0,20}(text|message|message plus|sms|imessage)|(text|message|message plus|sms|imessage)[a-z\s]{0,20}(cannot send|cannot receive|not get|cannot deliver|send|receive|forward|resend|does not support|ock|cannot lock|not deliver|problem|issue|fail|not work)",
Trouble messaging,cannot send/ cannot receive,message,,,
Trouble messaging,cannot send/ cannot receive,message plus,,,
Trouble messaging,not getting,Message,,,
Trouble messaging,cannot send/ cannot receive,SMS,,,
Trouble messaging,cannot send/ cannot receive,Imessage,,,
Trouble messaging,cannot deliver,Message,,,
Trouble messaging,send/received/receive/forwarding/resend,Message,,,
Trouble messaging,send/received/receive/forwarding/resend,Text,,,
Trouble messaging,does not support/ock/send/cannot lock/not delivered/receive,Message,,,
Trouble messaging,problem/issue/fail,Message,,,
Trouble messaging,problem/issue/fail,text,,,
Trouble messaging,problem/issue/fail,SMS,,,
Trouble messaging,issue/not working/problem,text,,,
Trouble messaging,issue/not working/problem,Message,,,
activation issue,assist/trouble/issue/problem,activation,100,"(assist|trouble|issue|problem|failure|error|fallout|try to activate|trouble activate|help)[a-z\s]{0,20}(activate|activate trouble|phone)|(activate|activate trouble|phone)[a-z\s]{0,20}(assist|trouble|issue|problem|failure|error|fallout|try to activate|trouble activate|help)",
activation issue,assist/trouble/issue/problem,activating trouble,,,
activation issue,failure/issues/error/fallout/trouble/problem,activation,,,
activation issue,trying to activate,new phone,,,
activation issue,trouble activating,phone,,,
activation issue,trouble activating,new phone,,,
activation issue,help,activation,,,
Bill Error/Issues,error/Issue,Bill,200,"(error|issue|wrong|charge incorrect|incorrect|should not charge|mistak bill|fail|problem|trouble|failure)[a-z\s]{0,20}(bill|charg|charg incorrect|bill charg|should not charg|mistake bill)|(bill|charge|charge incorrect|bill charge|should not charge|mistak bill)[a-z\s]{0,20}(error|issue|wrong|charge incorrect|incorrect|should not charge|mistake bill|fail|problem|trouble|failure)",
Bill Error/Issues,Wrong,Charges,,,
Bill Error/Issues,charged incorrectly,charged incorrectly,,,
Bill Error/Issues,incorrect,bill Charge,,,
Bill Error/Issues,incorrect,charges,,,
Bill Error/Issues,should not charge,should not charge,,,
Bill Error/Issues,mistake bill,mistake bill,,,
Bill Error/Issues,error/fail/issue/problem/failure/trouble,bill,,,
Setup/ Activate Phone,activate,new device,200,"(activat|setup| set up |add)[a-z\s]{0,20}(phone|number|device)|(phone|number|device)[a-z\s]{0,20}(activat|setup| set up |add)",
Setup/ Activate Phone,activate,new phone,,,
Setup/ Activate Phone,setup,phone,,,
Setup/ Activate Phone,Activate,Number,,,
Setup/ Activate Phone,setup/add/activate,device,,,
Setup/ Activate Phone,setup/add/activate,#devicename,,,
Setup/ Activate Phone,setup/add/activate,# devicename,,,
