comment_clean_custom
dispute wrong charge since orevio add twice intl plan cause harge remove one charge since verify verizon error also since previous sup call back add adjustment manager approve total
need credit travel pass states phone turn airplane mode should not charge travel pass
cust call claim promise cust card charge wrongly multiple time promise fix adjust accordingly
request removal verizon cloud say aware verizon cloud request credit time add add educ valid charge verizon mobile protect instead credit well verizon mobile protect apply incorrectly number sustain charge request removal verizon cloud say aware verizon cloud request credit time add add educ valid charge verizon mobile protect instead credit well verizon mobile protect apply incorrectly sustain charge
cust say picture return device crack camera feel charge incorrectly damage shipping process say never even see anything picture indicate phone break
cust refuse tell what wrong keep ask whose charge
call regard line end pay device should not dpp line cycle dpp charge charge back next cycle
account datum boost charge wrong line request move back line unlimited plus essential also apply loyalty discount datum boost charge wrong line request move back line unlimited plus essential also apply loyalty discount
samantha davis feb wrong card charge say autopayment charge wrongcard cust want reverse payment since use adifferent card want back charge card
store call update payment method show different total show store want make sure get charge incorrect transfer order store call payment method show different total show store want make sure get charge incorrect transfer order
cust claim getting charge incorrect county city tax information need assist
user incorrect charge reverval say charge remove amt xfer care incorrect charge reverval say charge remove amt xfer care
tracking return package sender request receiver return package sender request receiver show imei show dpp recreate due never actually get warehouse cust never recieve product should not charge
call get wrong charger order place itts ticket create call get wrong charger order itts ticket create
rcvd message not device adv warehouse should not charge change make
ask ipad charge line educ contract ipad educ still month remain ipad disagree info walk check online able check info still unhappy charge ipad insist already pay ipad charge incorrect educ charge still disagree talk sup deescalate calll insist talk sup long respond
call regard possibly receive incorrect charge cord tablet replment
julie ream fraud verify incorrect charge phone purchase use
contact regard concern verizon charge wrong card due balance leave payment got decline card enrol autopay check note error error code payment decline inform customer autopay got terminate due lose steal card share self sere customer enrol autopay debit card contact regard concern verizon charge wrong card due balance leave payment got decline card enrol autopay check note error error code payment decline inform cust autopay got terminate due lose steal card share self sere cust enrol autopay debit card
order phone send wrong place set back cancel customer able receive phone usage plan check already inactive customer charge order phone send wrong place set back cancel cust able receive phone usage plan check already inactive cust charge order phone send wrong set back cancel cust able receive phone usage plan check already inactive cust charge
call back wife line should not charge travel pass try trg phone got disconnect could not reach back
caller much wrong amount charge trade specific date caller much wrong charge trade specific date caller much wrong charge trade specific
